area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-7000,Woodworkers,minor,"253,080",1.4,,,,16.66,"34,660",0.4,10.73,12.77,15.75,19.42,24.23,"22,310","26,570","32,760","40,390","50,400",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-7010,Cabinetmakers and Bench Carpenters,broad,"99,400",2.1,,,,18.09,"37,620",0.6,11.47,13.74,17.21,21.61,26.72,"23,860","28,580","35,790","44,950","55,570",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-7011,Cabinetmakers and Bench Carpenters,detailed,"99,400",2.1,,,,18.09,"37,620",0.6,11.47,13.74,17.21,21.61,26.72,"23,860","28,580","35,790","44,950","55,570",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-7020,Furniture Finishers,broad,"16,220",3.6,,,,16.51,"34,350",0.8,11.20,13.04,15.62,18.87,23.59,"23,310","27,130","32,480","39,250","49,080",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-7021,Furniture Finishers,detailed,"16,220",3.6,,,,16.51,"34,350",0.8,11.20,13.04,15.62,18.87,23.59,"23,310","27,130","32,480","39,250","49,080",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-7030,"Model Makers and Patternmakers, Wood",broad,"1,190",22.2,,,,28.49,"59,270",2.8,16.38,22.01,29.39,34.95,38.93,"34,070","45,790","61,130","72,690","80,970",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-7031,"Model Makers, Wood",detailed,810,30.9,,,,27.56,"57,320",3.8,16.05,20.05,28.49,34.09,37.75,"33,390","41,700","59,260","70,910","78,530",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-7032,"Patternmakers, Wood",detailed,370,21.3,,,,30.53,"63,490",3.7,18.53,24.36,31.19,36.99,42.31,"38,540","50,660","64,880","76,940","87,990",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-7040,"Woodworking Machine Setters, Operators, and Tenders",broad,"129,580",2.0,,,,15.47,"32,170",0.4,10.26,12.21,14.79,18.16,22.21,"21,340","25,390","30,760","37,780","46,190",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,"50,730",2.4,,,,15.46,"32,150",0.6,10.17,12.17,14.62,18.16,22.44,"21,150","25,310","30,410","37,780","46,670",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,"78,850",2.9,,,,15.47,"32,180",0.5,10.30,12.23,14.90,18.16,22.06,"21,430","25,440","30,990","37,780","45,880",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-7090,Miscellaneous Woodworkers,broad,"6,700",6.7,,,,16.96,"35,270",1.5,10.48,12.01,15.92,21.06,25.81,"21,800","24,970","33,110","43,800","53,680",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-7099,"Woodworkers, All Other",detailed,"6,700",6.7,,,,16.96,"35,270",1.5,10.48,12.01,15.92,21.06,25.81,"21,800","24,970","33,110","43,800","53,680",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-8000,Plant and System Operators,minor,"302,270",1.0,,,,30.40,"63,230",0.4,16.26,21.42,29.01,38.62,47.40,"33,820","44,550","60,330","80,330","98,580",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-8010,"Power Plant Operators, Distributors, and Dispatchers",broad,"49,440",2.2,,,,40.22,"83,660",0.5,23.91,32.48,41.32,48.28,56.31,"49,730","67,550","85,950","100,430","117,130",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-8011,Nuclear Power Reactor Operators,detailed,"5,050",5.9,,,,48.55,"100,990",1.0,35.83,41.95,48.33,56.19,61.93,"74,520","87,250","100,530","116,880","128,810",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-8012,Power Distributors and Dispatchers,detailed,"10,770",3.7,,,,42.74,"88,910",0.7,27.10,34.88,43.61,50.07,58.84,"56,360","72,540","90,700","104,140","122,380",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-8013,Power Plant Operators,detailed,"33,620",2.7,,,,38.16,"79,370",0.6,22.10,30.34,39.42,46.61,52.10,"45,970","63,110","81,990","96,940","108,380",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-8020,Stationary Engineers and Boiler Operators,broad,"32,520",2.2,,,,31.71,"65,970",1.0,18.77,24.06,29.88,37.96,48.11,"39,050","50,040","62,150","78,960","100,080",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-8021,Stationary Engineers and Boiler Operators,detailed,"32,520",2.2,,,,31.71,"65,970",1.0,18.77,24.06,29.88,37.96,48.11,"39,050","50,040","62,150","78,960","100,080",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-8030,Water and Wastewater Treatment Plant and System Operators,broad,"123,730",1.0,,,,24.28,"50,490",0.5,13.87,17.66,22.96,29.43,37.31,"28,850","36,740","47,760","61,220","77,600",,
