AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9061,Camera and Photographic Equipment Repairers,detailed,"3,320",10.6,,,,20.55,"42,740",2.1,12.17,15.02,19.39,24.87,30.48,"25,310","31,230","40,330","51,730","63,400",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9062,Medical Equipment Repairers,detailed,"48,510",2.8,,,,26.49,"55,090",0.7,14.99,18.60,24.81,32.66,40.73,"31,180","38,700","51,610","67,930","84,720",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9063,Musical Instrument Repairers and Tuners,detailed,"7,070",7.1,,,,19.12,"39,770",1.5,11.50,14.07,17.70,23.06,29.27,"23,930","29,270","36,810","47,970","60,890",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9064,Watch and Clock Repairers,detailed,"2,430",14.1,,,,23.35,"48,560",5.8,10.95,15.84,21.77,28.54,36.57,"22,780","32,960","45,290","59,370","76,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9069,"Precision Instrument and Equipment Repairers, All Other",detailed,"10,100",4.4,,,,30.05,"62,500",1.2,18.36,23.74,29.53,35.62,41.88,"38,180","49,380","61,420","74,090","87,100",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9070,"Maintenance and Repair Workers, General",broad,"1,357,630",0.5,,,,21.05,"43,790",0.2,12.56,15.40,19.64,25.55,31.53,"26,130","32,020","40,850","53,150","65,590",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9071,"Maintenance and Repair Workers, General",detailed,"1,357,630",0.5,,,,21.05,"43,790",0.2,12.56,15.40,19.64,25.55,31.53,"26,130","32,020","40,850","53,150","65,590",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9080,Wind Turbine Service Technicians,broad,"5,860",11.1,,,,28.53,"59,340",1.5,19.47,22.25,27.03,33.13,40.18,"40,490","46,270","56,230","68,920","83,580",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9081,Wind Turbine Service Technicians,detailed,"5,860",11.1,,,,28.53,"59,340",1.5,19.47,22.25,27.03,33.13,40.18,"40,490","46,270","56,230","68,920","83,580",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9090,"Miscellaneous Installation, Maintenance, and Repair Workers",broad,"319,050",1.3,,,,20.91,"43,490",0.4,12.06,14.59,18.80,25.50,32.46,"25,090","30,360","39,100","53,040","67,510",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",detailed,"25,080",3.2,,,,19.09,"39,710",1.4,10.95,14.08,18.07,23.29,29.29,"22,770","29,280","37,580","48,440","60,930",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9092,Commercial Divers,detailed,"3,460",13.8,,,,34.54,"71,850",5.8,17.40,20.95,26.35,37.12,53.43,"36,200","43,570","54,800","77,220","111,130",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9094,Locksmiths and Safe Repairers,detailed,"16,180",6.1,,,,22.23,"46,240",1.2,13.02,16.20,21.00,27.81,33.25,"27,080","33,690","43,690","57,850","69,170",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9095,Manufactured Building and Mobile Home Installers,detailed,"2,900",10.1,,,,17.48,"36,360",2.1,11.22,13.40,16.89,20.62,25.10,"23,330","27,870","35,120","42,890","52,200",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9096,Riggers,detailed,"21,700",4.4,,,,25.49,"53,020",1.2,15.62,18.60,24.45,30.27,37.59,"32,480","38,680","50,850","62,960","78,200",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9097,Signal and Track Switch Repairers,detailed,"7,250",7.8,,,,36.53,"75,970",2.7,22.66,31.38,36.64,40.57,46.63,"47,130","65,270","76,210","84,390","96,990",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",detailed,"91,430",2.0,,,,16.33,"33,960",0.5,10.40,12.79,15.27,18.93,24.05,"21,640","26,590","31,760","39,370","50,030",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9099,"Installation, Maintenance, and Repair Workers, All Other",detailed,"151,050",2.1,,,,22.19,"46,160",0.6,13.01,15.90,20.42,27.26,33.48,"27,060","33,070","42,480","56,690","69,640",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-0000,Production Occupations,major,"8,519,410",0.3,,,,20.08,"41,760",0.2,11.85,14.12,18.00,24.00,31.41,"24,650","29,360","37,440","49,910","65,330",,
